experiment_setting_keys,experiment_setting_values,round,room,batch,timestamp,title,tree_tag,player_uuids,player_types,avatar_shapes,avatar_colors,adjacency_matrix,idnum_label_map,perspective_of_player,final_node,tree_status,players_abdicated,durations,cumulative_payoffs_tree,cumulative_payoffs_experiment,choice_type_,choice_type_A,choice_type_B,choice_type_BA,choice_type_BB,choice_type_BBA,choice_type_BBB,probability_,probability_A,probability_B,probability_BA,probability_BB,probability_BBA,probability_BBB,positionxy_,positionxy_A,positionxy_B,positionxy_BA,positionxy_BB,positionxy_BBA,positionxy_BBB,info_set_,info_set_A,info_set_B,info_set_BA,info_set_BB,info_set_BBA,info_set_BBB,time_,time_A,time_B,time_BA,time_BB,time_BBA,time_BBB,beliefs_,beliefs_A,beliefs_B,beliefs_BA,beliefs_BB,beliefs_BBA,beliefs_BBB,options_,options_A,options_B,options_BA,options_BB,options_BBA,options_BBB,payoffs__p0,payoffs__p1,payoffs_A_p0,payoffs_A_p1,payoffs_B_p0,payoffs_B_p1,payoffs_BA_p0,payoffs_BA_p1,payoffs_BB_p0,payoffs_BB_p1,payoffs_BBA_p0,payoffs_BBA_p1,payoffs_BBB_p0,payoffs_BBB_p1,choice__p0,choice__p1,choice_A_p0,choice_A_p1,choice_B_p0,choice_B_p1,choice_BA_p0,choice_BA_p1,choice_BB_p0,choice_BB_p1,choice_BBA_p0,choice_BBA_p1,choice_BBB_p0,choice_BBB_p1,prediction__p0,prediction__p1,prediction_A_p0,prediction_A_p1,prediction_B_p0,prediction_B_p1,prediction_BA_p0,prediction_BA_p1,prediction_BB_p0,prediction_BB_p1,prediction_BBA_p0,prediction_BBA_p1,prediction_BBB_p0,prediction_BBB_p1,choice_data__p0,choice_data__p1,choice_data_A_p0,choice_data_A_p1,choice_data_B_p0,choice_data_B_p1,choice_data_BA_p0,choice_data_BA_p1,choice_data_BB_p0,choice_data_BB_p1,choice_data_BBA_p0,choice_data_BBA_p1,choice_data_BBB_p0,choice_data_BBB_p1,prediction_data__p0,prediction_data__p1,prediction_data_A_p0,prediction_data_A_p1,prediction_data_B_p0,prediction_data_B_p1,prediction_data_BA_p0,prediction_data_BA_p1,prediction_data_BB_p0,prediction_data_BB_p1,prediction_data_BBA_p0,prediction_data_BBA_p1,prediction_data_BBB_p0,prediction_data_BBB_p1
agency,"{'apply': True, 'distribution_type': 'uniform', 'interval': [0, 1], 'coefficients': [1, 1]}",3,1,72,1713288220,ToM+MSMM-2413-2341,TREE-1.2-0.0-0.1-2.0-2.2-4.0-4.0,"['3dab4c5d-0f80-4f46-bfec-542968cf7c47', '4aa4313a-3696-4f8a-811c-01a9ef00a7d9']","['participant', 'robot']","['dent-square', 'dodecagon']","['hsla(274, 93%, 59%, 1.0)', 'hsla(287, 52%, 62%, 1.0)']","[[1, 1], [1, 1]]","{0: '', 1: 'A', 2: 'B', 3: 'BA', 4: 'BB', 5: 'BBA', 6: 'BBB'}",,3,after,"[False, False]","{'max': 45, 'min': 45, 'avg': 37.0, 'root': 17}","[0, 0]","[83, 73]",sequential,chance,sequential,chance,sequential,chance,chance,"[1.0, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.375, 0.666667]","[0.625, 0.666667]","[0.5625, 0.333333]","[0.6875, 0.333333]","[0.65625, 0.0]","[0.71875, 0.0]",[[0]],[[1]],[[2]],[[3]],[[4]],[[5]],[[6]],"(0, 17)","(15, 23)","(15, 27)","(27, 35)","(27, 37)","(37, 45)","(37, 45)",{},{},{},{},{},{},{},"['A', 'B']",[],"['BA', 'BB']",[],"['BBA', 'BBB']",[],[],0,0,2,2,0,0,4,3,0,0,1,4,3,1,B,,,,,BA,,,,,,,,,,B,,,BA,,,,,,,,,,"{'rtype': 'select-node', 'rtimedn': 14.355, 'rtimeup': 14.355}",,,,,"{'rtype': 'a', 'rtimedn': 5.244, 'rtimeup': 6.949}",,,,,,,,,,"{'rtype': 'd', 'rtimedn': 4.105, 'rtimeup': 6.181}",,,"{'rtype': 'select-node', 'rtimedn': 15.129, 'rtimeup': 15.129}",,,,,,,,,
base_url,https://yourschool.sona-systems.com/webstudy_credit.aspx,3,2,72,1713288211,ToM+MSMM-2413-2341,TREE-1.2-0.0-0.1-2.0-2.2-4.0-4.0,"['b16f11b4-55be-4071-b46b-c1210760e477', '6021ebee-c33c-4c5d-ac3f-490ecb89c8dd']","['participant', 'robot']","['arrow-head', 'pentagon']","['hsla(230, 52%, 61%, 1.0)', 'hsla(297, 67%, 47%, 1.0)']","[[1, 1], [1, 1]]","{0: '', 1: 'A', 2: 'B', 3: 'BA', 4: 'BB', 5: 'BBA', 6: 'BBB'}",,3,after,"[True, False]","{'max': 49, 'min': 49, 'avg': 41.0, 'root': 17}","[-10, 0]","[86, 105]",sequential,chance,sequential,chance,sequential,chance,chance,"[1.0, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.375, 0.666667]","[0.625, 0.666667]","[0.5625, 0.333333]","[0.6875, 0.333333]","[0.65625, 0.0]","[0.71875, 0.0]",[[0]],[[1]],[[2]],[[3]],[[4]],[[5]],[[6]],"(0, 17)","(19, 27)","(19, 31)","(31, 39)","(31, 41)","(41, 49)","(41, 49)",{},{},{},{},{},{},{},"['A', 'B']",[],"['BA', 'BB']",[],"['BBA', 'BBB']",[],[],0,0,2,2,0,0,4,3,0,0,1,4,3,1,B,,,,,BA,,,,,,,,,,B,,,BA,,,,,,,,,,"{'rtype': 'select-node', 'rtimedn': 19.09, 'rtimeup': 19.09}",,,,,"{'rtype': 'd', 'rtimedn': 2.546, 'rtimeup': 3.262}",,,,,,,,,,"{'rtype': 'd', 'rtimedn': 3.296, 'rtimeup': 3.701}",,,"{'rtype': 'select-node', 'rtimedn': 19.377, 'rtimeup': 19.377}",,,,,,,,,
instructions,"['Rather than trying to advance the interests of your counterpart or to advance your interests long-term by cooperating, you must try to maximize your payoff in each round.  We have also told your counterpart to try to get their highest payoff in each round.  You both know that you both know that you both expect the other person to act in their self-interest.  Likewise, your counterpart completed the same tutorial and recieved these same instructions so you both understand how to participate.']",4,0,72,1713288231,ToM+SMSM-2134-3241,TREE-1.2-0.0-0.1-2.0-2.2-4.0-4.0,"['a2b3311e-90df-4608-9513-ff570a4e65e8', '4ebd3d4e-9279-40a4-85d3-1071761a6e42']","['participant', 'robot']","['stop-sign', 'star-six']","['hsla(351, 67%, 55%, 1.0)', 'hsla(124, 63%, 43%, 1.0)']","[[1, 1], [1, 1]]","{0: '', 1: 'A', 2: 'B', 3: 'BA', 4: 'BB', 5: 'BBA', 6: 'BBB'}",,1,after,"[True, False]","{'max': 47, 'min': 47, 'avg': 39.0, 'root': 17}","[-10, 0]","[83, 76]",sequential,chance,sequential,chance,sequential,chance,chance,"[1.0, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.375, 0.666667]","[0.625, 0.666667]","[0.5625, 0.333333]","[0.6875, 0.333333]","[0.65625, 0.0]","[0.71875, 0.0]",[[0]],[[1]],[[2]],[[3]],[[4]],[[5]],[[6]],"(0, 17)","(17, 25)","(17, 29)","(29, 37)","(29, 39)","(39, 47)","(39, 47)",{},{},{},{},{},{},{},"['A', 'B']",[],"['BA', 'BB']",[],"['BBA', 'BBB']",[],[],0,0,2,3,0,0,1,2,0,0,3,4,4,1,A,,,,,,,,,,,,,,,A,,,,,,,,,,,,,"{'rtype': 'select-node', 'rtimedn': 22.861, 'rtimeup': 22.861}",,,,,,,,,,,,,,,"{'rtype': 'a', 'rtimedn': 1.393, 'rtimeup': 1.501}",,,,,,,,,,,,
consent,"['UNIVERSITY OF MICHIGAN', 'CONSENT TO BE PART OF A RESEARCH STUDY HUM00243214', 'Platform Title: The Morality Game', 'Platform Creator: Gregory Stanley, Ph.D. Candidate, University of Michigan', 'Faculty Advisor: Jun Zhang, Professor of Psychology, University of Michigan', 'Thank you for your interest in participating in this experiment.  This is an unpaid experiment.  You will receive credit for 1 hour of Subject Pool participation.  Please be ready for 1 hour of continuous participation.  If you are inactive for over 2 minutes, the system will automatically eject you from the experiment.  Your counterparts are human participants, unless they drop out of the experiment, in which case they will be replaced by artificial agents.  Please feel free to contact me, Greg, at (714) 454-0435 if you have any questions.  All other information relevant to your consent was covered by the platform general-consent form in the tutorial.  You must be 18 years of age or older to participate in this study.', '']",4,1,72,1713288237,ToM+SMSM-2134-3241,TREE-1.2-0.0-0.1-2.0-2.2-4.0-4.0,"['3dab4c5d-0f80-4f46-bfec-542968cf7c47', '4aa4313a-3696-4f8a-811c-01a9ef00a7d9']","['participant', 'robot']","['dent-square', 'dodecagon']","['hsla(274, 93%, 59%, 1.0)', 'hsla(287, 52%, 62%, 1.0)']","[[1, 1], [1, 1]]","{0: '', 1: 'A', 2: 'B', 3: 'BA', 4: 'BB', 5: 'BBA', 6: 'BBB'}",,3,after,"[False, False]","{'max': 47, 'min': 47, 'avg': 39.0, 'root': 17}","[0, 0]","[83, 73]",sequential,chance,sequential,chance,sequential,chance,chance,"[1.0, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.375, 0.666667]","[0.625, 0.666667]","[0.5625, 0.333333]","[0.6875, 0.333333]","[0.65625, 0.0]","[0.71875, 0.0]",[[0]],[[1]],[[2]],[[3]],[[4]],[[5]],[[6]],"(0, 17)","(17, 25)","(17, 29)","(29, 37)","(29, 39)","(39, 47)","(39, 47)",{},{},{},{},{},{},{},"['A', 'B']",[],"['BA', 'BB']",[],"['BBA', 'BBB']",[],[],0,0,2,3,0,0,1,2,0,0,3,4,4,1,B,,,,,BA,,,,,,,,,,A,,,BA,,,,,,,,,,"{'rtype': 'select-node', 'rtimedn': 16.657, 'rtimeup': 16.657}",,,,,"{'rtype': 'd', 'rtimedn': 3.969, 'rtimeup': 5.492}",,,,,,,,,,"{'rtype': 'd', 'rtimedn': 7.844, 'rtimeup': 11.863}",,,"{'rtype': 'select-node', 'rtimedn': 16.818, 'rtimeup': 16.818}",,,,,,,,,
experiment_code,eGfzR5QoOZLq,4,2,72,1713288230,ToM+SMSM-2134-3241,TREE-1.2-0.0-0.1-2.0-2.2-4.0-4.0,"['b16f11b4-55be-4071-b46b-c1210760e477', '6021ebee-c33c-4c5d-ac3f-490ecb89c8dd']","['participant', 'robot']","['arrow-head', 'pentagon']","['hsla(230, 52%, 61%, 1.0)', 'hsla(297, 67%, 47%, 1.0)']","[[1, 1], [1, 1]]","{0: '', 1: 'A', 2: 'B', 3: 'BA', 4: 'BB', 5: 'BBA', 6: 'BBB'}",,3,after,"[True, False]","{'max': 51, 'min': 51, 'avg': 43.0, 'root': 17}","[-10, 0]","[86, 105]",sequential,chance,sequential,chance,sequential,chance,chance,"[1.0, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.375, 0.666667]","[0.625, 0.666667]","[0.5625, 0.333333]","[0.6875, 0.333333]","[0.65625, 0.0]","[0.71875, 0.0]",[[0]],[[1]],[[2]],[[3]],[[4]],[[5]],[[6]],"(0, 17)","(21, 29)","(21, 33)","(33, 41)","(33, 43)","(43, 51)","(43, 51)",{},{},{},{},{},{},{},"['A', 'B']",[],"['BA', 'BB']",[],"['BBA', 'BBB']",[],[],0,0,2,3,0,0,1,2,0,0,3,4,4,1,B,,,,,BA,,,,,,,,,,A,,,BB,,,,,,,,,,"{'rtype': 'select-node', 'rtimedn': 21.096, 'rtimeup': 21.096}",,,,,"{'rtype': 'a', 'rtimedn': 1.494, 'rtimeup': 2.241}",,,,,,,,,,"{'rtype': 'd', 'rtimedn': 2.456, 'rtimeup': 3.079}",,,"{'rtype': 'select-node', 'rtimedn': 21.223, 'rtimeup': 21.223}",,,,,,,,,
experiment_type,pilot,5,0,72,1713288248,ToM+MSMM-3412-2341,TREE-1.2-0.0-0.1-2.0-2.2-4.0-4.0,"['a2b3311e-90df-4608-9513-ff570a4e65e8', '4ebd3d4e-9279-40a4-85d3-1071761a6e42']","['participant', 'robot']","['stop-sign', 'star-six']","['hsla(351, 67%, 55%, 1.0)', 'hsla(124, 63%, 43%, 1.0)']","[[1, 1], [1, 1]]","{0: '', 1: 'A', 2: 'B', 3: 'BA', 4: 'BB', 5: 'BBA', 6: 'BBB'}",,1,after,"[True, False]","{'max': 47, 'min': 47, 'avg': 39.0, 'root': 17}","[-10, 0]","[83, 76]",sequential,chance,sequential,chance,sequential,chance,chance,"[1.0, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.375, 0.666667]","[0.625, 0.666667]","[0.5625, 0.333333]","[0.6875, 0.333333]","[0.65625, 0.0]","[0.71875, 0.0]",[[0]],[[1]],[[2]],[[3]],[[4]],[[5]],[[6]],"(0, 17)","(17, 25)","(17, 29)","(29, 37)","(29, 39)","(39, 47)","(39, 47)",{},{},{},{},{},{},{},"['A', 'B']",[],"['BA', 'BB']",[],"['BBA', 'BBB']",[],[],0,0,3,2,0,0,4,3,0,0,1,4,2,1,A,,,,,,,,,,,,,,,B,,,,,,,,,,,,,"{'rtype': 'select-node', 'rtimedn': 24.539, 'rtimeup': 24.539}",,,,,,,,,,,,,,,"{'rtype': 'd', 'rtimedn': 2.994, 'rtimeup': 4.844}",,,,,,,,,,,,
status,open,5,1,72,1713288252,ToM+MSMM-3412-2341,TREE-1.2-0.0-0.1-2.0-2.2-4.0-4.0,"['3dab4c5d-0f80-4f46-bfec-542968cf7c47', '4aa4313a-3696-4f8a-811c-01a9ef00a7d9']","['participant', 'robot']","['dent-square', 'dodecagon']","['hsla(274, 93%, 59%, 1.0)', 'hsla(287, 52%, 62%, 1.0)']","[[1, 1], [1, 1]]","{0: '', 1: 'A', 2: 'B', 3: 'BA', 4: 'BB', 5: 'BBA', 6: 'BBB'}",,3,after,"[True, False]","{'max': 47, 'min': 47, 'avg': 39.0, 'root': 17}","[-10, 0]","[83, 73]",sequential,chance,sequential,chance,sequential,chance,chance,"[1.0, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.375, 0.666667]","[0.625, 0.666667]","[0.5625, 0.333333]","[0.6875, 0.333333]","[0.65625, 0.0]","[0.71875, 0.0]",[[0]],[[1]],[[2]],[[3]],[[4]],[[5]],[[6]],"(0, 17)","(17, 25)","(17, 29)","(29, 37)","(29, 39)","(39, 47)","(39, 47)",{},{},{},{},{},{},{},"['A', 'B']",[],"['BA', 'BB']",[],"['BBA', 'BBB']",[],[],0,0,3,2,0,0,4,3,0,0,1,4,2,1,B,,,,,BA,,,,,,,,,,B,,,BB,,,,,,,,,,"{'rtype': 'select-node', 'rtimedn': 17.705, 'rtimeup': 17.705}",,,,,"{'rtype': 'd', 'rtimedn': 7.797, 'rtimeup': 9.09}",,,,,,,,,,"{'rtype': 'd', 'rtimedn': 14.5, 'rtimeup': 16.46}",,,"{'rtype': 'select-node', 'rtimedn': 18.294, 'rtimeup': 18.294}",,,,,,,,,
start_date,2024-04-16-13:19,5,2,72,1713288251,ToM+MSMM-3412-2341,TREE-1.2-0.0-0.1-2.0-2.2-4.0-4.0,"['b16f11b4-55be-4071-b46b-c1210760e477', '6021ebee-c33c-4c5d-ac3f-490ecb89c8dd']","['participant', 'robot']","['arrow-head', 'pentagon']","['hsla(230, 52%, 61%, 1.0)', 'hsla(297, 67%, 47%, 1.0)']","[[1, 1], [1, 1]]","{0: '', 1: 'A', 2: 'B', 3: 'BA', 4: 'BB', 5: 'BBA', 6: 'BBB'}",,3,after,"[True, False]","{'max': 53, 'min': 53, 'avg': 45.0, 'root': 17}","[-10, 0]","[86, 105]",sequential,chance,sequential,chance,sequential,chance,chance,"[1.0, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.375, 0.666667]","[0.625, 0.666667]","[0.5625, 0.333333]","[0.6875, 0.333333]","[0.65625, 0.0]","[0.71875, 0.0]",[[0]],[[1]],[[2]],[[3]],[[4]],[[5]],[[6]],"(0, 17)","(23, 31)","(23, 35)","(35, 43)","(35, 45)","(45, 53)","(45, 53)",{},{},{},{},{},{},{},"['A', 'B']",[],"['BA', 'BB']",[],"['BBA', 'BBB']",[],[],0,0,3,2,0,0,4,3,0,0,1,4,2,1,B,,,,,BA,,,,,,,,,,B,,,BA,,,,,,,,,,"{'rtype': 'select-node', 'rtimedn': 23.118, 'rtimeup': 23.118}",,,,,"{'rtype': 'd', 'rtimedn': 2.482, 'rtimeup': 3.84}",,,,,,,,,,"{'rtype': 'd', 'rtimedn': 2.714, 'rtimeup': 2.878}",,,"{'rtype': 'select-node', 'rtimedn': 23.291, 'rtimeup': 23.291}",,,,,,,,,
experimenter_uuid,90427df1-2b1e-4653-9e04-f86c9e4bfa2c,6,0,72,1713288264,ToM+MMMS-3421-3214,TREE-1.2-0.0-0.1-2.0-2.2-4.0-4.0,"['a2b3311e-90df-4608-9513-ff570a4e65e8', '4ebd3d4e-9279-40a4-85d3-1071761a6e42']","['participant', 'robot']","['stop-sign', 'star-six']","['hsla(351, 67%, 55%, 1.0)', 'hsla(124, 63%, 43%, 1.0)']","[[1, 1], [1, 1]]","{0: '', 1: 'A', 2: 'B', 3: 'BA', 4: 'BB', 5: 'BBA', 6: 'BBB'}",,3,after,"[True, False]","{'max': 55, 'min': 55, 'avg': 47.0, 'root': 17}","[-10, 0]","[83, 76]",sequential,chance,sequential,chance,sequential,chance,chance,"[1.0, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.375, 0.666667]","[0.625, 0.666667]","[0.5625, 0.333333]","[0.6875, 0.333333]","[0.65625, 0.0]","[0.71875, 0.0]",[[0]],[[1]],[[2]],[[3]],[[4]],[[5]],[[6]],"(0, 17)","(25, 33)","(25, 37)","(37, 45)","(37, 47)","(47, 55)","(47, 55)",{},{},{},{},{},{},{},"['A', 'B']",[],"['BA', 'BB']",[],"['BBA', 'BBB']",[],[],0,0,3,3,0,0,4,2,0,0,2,1,1,4,B,,,,,BA,,,,,,,,,,B,,,BB,,,,,,,,,,"{'rtype': 'select-node', 'rtimedn': 25.953, 'rtimeup': 25.953}",,,,,"{'rtype': 'd', 'rtimedn': 1.649, 'rtimeup': 3.111}",,,,,,,,,,"{'rtype': 'd', 'rtimedn': 3.161, 'rtimeup': 3.507}",,,"{'rtype': 'select-node', 'rtimedn': 26.076, 'rtimeup': 26.076}",,,,,,,,,
batches,"{'completed': 72, 'batch_study': True}",6,1,72,1713288267,ToM+MMMS-3421-3214,TREE-1.2-0.0-0.1-2.0-2.2-4.0-4.0,"['3dab4c5d-0f80-4f46-bfec-542968cf7c47', '4aa4313a-3696-4f8a-811c-01a9ef00a7d9']","['participant', 'robot']","['dent-square', 'dodecagon']","['hsla(274, 93%, 59%, 1.0)', 'hsla(287, 52%, 62%, 1.0)']","[[1, 1], [1, 1]]","{0: '', 1: 'A', 2: 'B', 3: 'BA', 4: 'BB', 5: 'BBA', 6: 'BBB'}",,3,after,"[True, False]","{'max': 49, 'min': 49, 'avg': 41.0, 'root': 17}","[-10, 0]","[83, 73]",sequential,chance,sequential,chance,sequential,chance,chance,"[1.0, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.5, 1.0]","[0.375, 0.666667]","[0.625, 0.666667]","[0.5625, 0.333333]","[0.6875, 0.333333]","[0.65625, 0.0]","[0.71875, 0.0]",[[0]],[[1]],[[2]],[[3]],[[4]],[[5]],[[6]],"(0, 17)","(19, 27)","(19, 31)","(31, 39)","(31, 41)","(41, 49)","(41, 49)",{},{},{},{},{},{},{},"['A', 'B']",[],"['BA', 'BB']",[],"['BBA', 'BBB']",[],[],0,0,3,3,0,0,4,2,0,0,2,1,1,4,B,,,,,BA,,,,,,,,,,B,,,BB,,,,,,,,,,"{'rtype': 'select-node', 'rtimedn': 19.624, 'rtimeup': 19.624}",,,,,"{'rtype': 'a', 'rtimedn': 0.509, 'rtimeup': 3.139}",,,,,,,,,,"{'rtype': 'd', 'rtimedn': 2.572, 'rtimeup': 4.527}",,,"{'rtype': 'select-node', 'rtimedn': 19.782, 'rtimeup': 19.782}",,,,,,,,,
