participant_number,quadruplet,n_correct,n_mistaken,n_abdicated,n_total,error_rate,median_choice_rt,median_prediction_rt
1,SMSS,4.0,0.0,0.0,4.0,0.0,6.842356205,
1,MMMS,1.0,3.0,0.0,4.0,0.75,3.8931905035000005,6.419955969
1,MSMS,0.0,4.0,0.0,4.0,1.0,5.013394475,
1,MMMM,4.0,0.0,0.0,4.0,0.0,5.5702836510000004,7.3618189095
1,SMSM,2.0,2.0,0.0,4.0,0.5,4.1246101855,3.8053638935
1,MSMM,3.0,1.0,0.0,4.0,0.25,6.369739294,7.055175543
1,SSSM,1.0,3.0,0.0,4.0,0.75,4.0369780065,5.804836273
1,SSSS,2.0,2.0,0.0,4.0,0.5,6.1813693045,6.8231475355
2,MSMS,1.0,1.0,2.0,4.0,0.5,2.684649825,5.000745177
2,SSSS,1.0,3.0,0.0,4.0,0.75,1.931506276,3.630865335
2,SMSM,1.0,3.0,0.0,4.0,0.75,1.5206307175,2.487300158
2,SSSM,0.0,4.0,0.0,4.0,1.0,3.017421961,3.850316167
2,MSMM,4.0,0.0,0.0,4.0,0.0,2.054955721,3.396122813
2,SMSS,0.0,4.0,0.0,4.0,1.0,2.3393805025,3.3393805025
2,MMMS,3.0,1.0,0.0,4.0,0.25,2.287820935,3.614448547
2,MMMM,2.0,2.0,0.0,4.0,0.5,1.6143689155,2.5705589055
3,SSSM,3.0,1.0,0.0,4.0,0.25,1.1212608815,3.47516489
3,MSMM,2.0,2.0,0.0,4.0,0.5,1.1749026775,2.1991244555
3,MSMS,1.0,3.0,0.0,4.0,0.75,3.923559427,8.444743633
3,SMSS,4.0,0.0,0.0,4.0,0.0,1.1793512105000001,
3,SSSS,3.0,1.0,0.0,4.0,0.25,1.5798540115,2.935826778
3,MMMS,0.0,4.0,0.0,4.0,1.0,1.2029961345,
3,MMMM,1.0,3.0,0.0,4.0,0.75,0.958987951,2.942402124
3,SMSM,3.0,1.0,0.0,4.0,0.25,0.805454016,6.091407299
4,SMSM,0.0,4.0,0.0,4.0,1.0,2.0592591765,3.0592591765000003
4,SSSS,3.0,1.0,0.0,4.0,0.25,2.0538730625,4.999814034
4,SMSS,2.0,2.0,0.0,4.0,0.5,3.356281638,5.4399096965
4,MSMS,2.0,2.0,0.0,4.0,0.5,1.6051874160000001,3.251715064
4,MSMM,3.0,1.0,0.0,4.0,0.25,3.6797171834999998,5.86631012
4,MMMS,1.0,3.0,0.0,4.0,0.75,3.7917515040000005,4.487027884
4,MMMM,4.0,0.0,0.0,4.0,0.0,2.344545007,3.8857705595
4,SSSM,2.0,0.0,2.0,4.0,0.0,2.481364727,5.246762037
5,MMMM,3.0,1.0,0.0,4.0,0.25,1.7362253669999999,3.290076494
5,SSSS,1.0,3.0,0.0,4.0,0.75,1.3735707995,2.786375284
5,MSMS,2.0,2.0,0.0,4.0,0.5,2.0718619825,3.9588921069999996
5,MSMM,4.0,0.0,0.0,4.0,0.0,2.0148580075,3.5148580075
5,SMSM,0.0,4.0,0.0,4.0,1.0,1.566459775,2.3855952025000002
5,SSSM,2.0,2.0,0.0,4.0,0.5,2.216332197,3.027760625
5,SMSS,1.0,1.0,2.0,4.0,0.5,2.014833212,6.485646963000001
5,MMMS,2.0,1.0,1.0,4.0,0.3333333333333333,1.874724865,4.476789117
6,SMSM,1.0,3.0,0.0,4.0,0.75,1.407716751,2.618037939
6,SSSM,1.0,3.0,0.0,4.0,0.75,1.6412787435,2.764910221
6,MSMS,4.0,0.0,0.0,4.0,0.0,1.325817108,2.1970818039999997
6,MSMM,4.0,0.0,0.0,4.0,0.0,1.7089128494999999,2.2893992665000003
6,SSSS,1.0,3.0,0.0,4.0,0.75,2.1460243465,2.847751856
6,MMMM,3.0,1.0,0.0,4.0,0.25,2.211179614,3.063748121
6,MMMS,1.0,3.0,0.0,4.0,0.75,2.3842146394999997,1.429881096
6,SMSS,2.0,2.0,0.0,4.0,0.5,1.729240656,1.548951745
7,MMMS,3.0,1.0,0.0,4.0,0.25,4.1708710195,4.269514799
7,SMSS,3.0,1.0,0.0,4.0,0.25,7.3218598365,5.684597492
7,SSSM,2.0,2.0,0.0,4.0,0.5,5.349788308,7.332875371
7,SSSS,4.0,0.0,0.0,4.0,0.0,8.5798540115,
7,MSMS,4.0,0.0,0.0,4.0,0.0,3.311971426,3.833155632
7,SMSM,1.0,2.0,1.0,4.0,0.6666666666666666,13.0914073,15.0914073
7,MMMM,4.0,0.0,0.0,4.0,0.0,6.686832547,8.686832547
7,MSMM,4.0,0.0,0.0,4.0,0.0,6.36123836,7.1991244555
8,MSMS,3.0,1.0,0.0,4.0,0.25,5.1852686405,8.814405203
8,MMMS,2.0,2.0,0.0,4.0,0.5,5.871679067500001,6.4039399625
8,SSSS,4.0,0.0,0.0,4.0,0.0,10.2275576615,
8,SMSS,4.0,0.0,0.0,4.0,0.0,9.290507676,
8,SSSM,2.0,2.0,0.0,4.0,0.5,8.5997134445,12.02109814
8,MSMM,3.0,1.0,0.0,4.0,0.25,9.966377733,9.039890766
8,SMSM,2.0,2.0,0.0,4.0,0.5,11.207029460000001,14.207029460000001
8,MMMM,2.0,2.0,0.0,4.0,0.5,7.772490144,7.5111056565
9,SMSS,4.0,0.0,0.0,4.0,0.0,6.589841485,
9,SSSS,4.0,0.0,0.0,4.0,0.0,10.05392885,
9,MSMS,4.0,0.0,0.0,4.0,0.0,5.396817327,6.396817327
9,MSMM,4.0,0.0,0.0,4.0,0.0,6.474905491,8.199577094
9,SMSM,2.0,1.0,1.0,4.0,0.3333333333333333,9.465635061,12.2774869225
9,MMMM,2.0,1.0,1.0,4.0,0.3333333333333333,8.966759443,10.451400755
9,MMMS,4.0,0.0,0.0,4.0,0.0,5.4819669725,6.4819669725
9,SSSM,2.0,2.0,0.0,4.0,0.5,7.663897872,10.378785615
10,SMSS,3.0,1.0,0.0,4.0,0.25,2.959906459,4.471908808
10,MSMS,1.0,3.0,0.0,4.0,0.75,2.4035060405,2.522122383
10,SSSS,2.0,2.0,0.0,4.0,0.5,2.9566913845,5.9259879589999995
10,SMSM,2.0,2.0,0.0,4.0,0.5,4.11383152,6.165197134
10,MSMM,4.0,0.0,0.0,4.0,0.0,3.375346303,4.603129625499999
10,MMMM,4.0,0.0,0.0,4.0,0.0,5.2556860445,6.7256530525
10,SSSM,0.0,4.0,0.0,4.0,1.0,3.9379690885,5.4379690885
10,MMMS,1.0,3.0,0.0,4.0,0.75,2.7801384925,6.694800377
11,MSMS,1.0,3.0,0.0,4.0,0.75,3.8272314069999998,4.393449545
11,SSSM,3.0,1.0,0.0,4.0,0.25,4.898475170499999,6.500040293
11,MMMS,3.0,1.0,0.0,4.0,0.25,3.4808781145000003,5.419832945
11,SMSS,4.0,0.0,0.0,4.0,0.0,3.3679754734999996,
11,SSSS,3.0,1.0,0.0,4.0,0.25,3.5841242075,21.34442067
11,MSMM,3.0,1.0,0.0,4.0,0.25,4.4562035795,7.687863111
11,MMMM,3.0,1.0,0.0,4.0,0.25,3.5309633015,6.984930992
11,SMSM,3.0,1.0,0.0,4.0,0.25,3.974298,12.29044938
12,SMSM,2.0,2.0,0.0,4.0,0.5,8.084105253,8.207029462000001
12,MMMS,3.0,1.0,0.0,4.0,0.25,5.871679067500001,6.369358778
12,MMMM,4.0,0.0,0.0,4.0,0.0,6.772490144,7.772490144
12,SMSS,4.0,0.0,0.0,4.0,0.0,7.290507674,
12,SSSS,3.0,1.0,0.0,4.0,0.25,10.575334665,12.61032391
12,MSMS,4.0,0.0,0.0,4.0,0.0,5.1545755865,6.1545755865
